id,device_id,temperature,humidity,outdoor_temperature,weather_condition,alert,timestamp,ldr_value,ldr_alert
124,ESP32_01,15.9375,68.0,12.6,Partly cloudy,0,2026-01-06 00:06:28.415457,,0
125,ESP32_01,15.9375,68.0,12.6,Partly cloudy,0,2026-01-06 00:06:34.872821,,0
126,ESP32_01,15.9375,68.0,12.6,Partly cloudy,0,2026-01-06 00:06:45.146915,,0
127,ESP32_01,15.9375,68.0,12.6,Partly cloudy,0,2026-01-06 00:06:51.568302,,0
128,ESP32_01,15.9375,68.0,12.6,Partly cloudy,0,2026-01-06 00:06:57.927957,,0
129,ESP32_01,16.0,68.0,12.6,Partly cloudy,0,2026-01-06 00:07:04.225471,,0
130,ESP32_01,16.0,68.0,12.6,Partly cloudy,0,2026-01-06 00:07:10.707916,,0
131,ESP32_01,15.875,68.0,12.6,Partly cloudy,0,2026-01-06 00:07:16.966360,,0
132,ESP32_01,15.9375,68.0,12.6,Partly cloudy,0,2026-01-06 00:07:23.204374,,0
133,ESP32_01,15.9375,68.0,12.6,Partly cloudy,0,2026-01-06 00:07:29.411846,,0
134,ESP32_01,15.9375,68.0,12.6,Partly cloudy,0,2026-01-06 00:07:35.717990,,0
135,ESP32_01,15.9375,68.0,12.6,Partly cloudy,0,2026-01-06 00:07:42.146951,,0
136,ESP32_01,15.9375,68.0,12.6,Partly cloudy,0,2026-01-06 00:07:48.508053,,0
137,ESP32_01,16.0,68.0,12.6,Partly cloudy,0,2026-01-06 00:07:54.806895,,0
138,ESP32_01,15.9375,68.0,12.6,Partly cloudy,0,2026-01-06 00:08:01.296847,,0
139,ESP32_01,15.875,68.0,12.6,Partly cloudy,0,2026-01-06 00:08:07.624387,,0
140,ESP32_01,15.9375,68.0,12.6,Partly cloudy,0,2026-01-06 00:08:14.101227,,0
141,ESP32_01,15.875,68.0,12.6,Partly cloudy,0,2026-01-06 00:08:20.536616,,0
142,ESP32_01,15.875,68.0,12.6,Partly cloudy,0,2026-01-06 00:08:26.702273,,0
143,ESP32_01,15.875,68.0,12.6,Partly cloudy,0,2026-01-06 00:08:33.006357,,0
