id,device_id,temperature,humidity,outdoor_temperature,weather_condition,alert,timestamp,ldr_value,ldr_alert
1,ESP32_01,14.9375,69.0,12.7,,1,2026-01-07 20:21:36.690090,,0
2,ESP32_01,14.875,69.0,12.7,,1,2026-01-07 20:21:40.152415,,0
3,ESP32_01,14.875,69.0,12.7,,1,2026-01-07 20:21:45.359661,,0
4,ESP32_01,14.8125,69.0,12.7,,1,2026-01-07 20:21:48.402355,,0
5,ESP32_01,14.875,69.0,12.7,,1,2026-01-07 20:21:51.446142,,0
6,ESP32_01,14.8125,69.0,12.7,,1,2026-01-07 20:21:55.845891,,0
7,ESP32_01,14.8125,69.0,12.7,,1,2026-01-07 20:21:59.204559,,0
8,ESP32_01,14.875,69.0,12.7,,1,2026-01-07 20:22:02.580207,,0
9,ESP32_01,14.8125,69.0,12.7,,1,2026-01-07 20:22:07.035747,,0
10,ESP32_01,14.8125,69.0,12.7,,1,2026-01-07 20:22:10.248321,,0
11,ESP32_01,14.8125,69.0,12.7,,1,2026-01-07 20:22:13.328329,,0
12,ESP32_01,14.8125,69.0,12.7,,1,2026-01-07 20:22:18.248630,,0
13,ESP32_01,14.875,69.0,12.7,,1,2026-01-07 20:22:21.727471,,0
14,ESP32_01,14.8125,69.0,12.7,,1,2026-01-07 20:22:24.795269,,0
15,ESP32_01,14.8125,69.0,12.7,,1,2026-01-07 20:22:29.821090,,0
16,ESP32_01,14.875,69.0,12.7,,1,2026-01-07 20:22:33.013352,,0
17,ESP32_01,14.8125,69.0,12.7,,1,2026-01-07 20:22:36.067104,,0
18,ESP32_01,14.875,69.0,12.7,,1,2026-01-07 20:22:40.877623,,0
19,ESP32_01,14.875,69.0,12.7,,1,2026-01-07 20:22:44.307686,,0
20,ESP32_01,14.8125,69.0,12.7,,1,2026-01-07 20:22:47.498841,,0
21,ESP32_01,14.75,69.0,12.7,,1,2026-01-07 20:22:52.033459,,0
22,ESP32_01,14.8125,69.0,12.7,,1,2026-01-07 20:22:55.325358,,0
23,ESP32_01,14.8125,69.0,12.7,,1,2026-01-07 20:22:58.792372,,0
24,ESP32_01,14.8125,69.0,12.7,,1,2026-01-07 20:23:03.296379,,0
25,ESP32_01,14.8125,69.0,12.7,,1,2026-01-07 20:23:06.270015,,0
26,ESP32_01,14.8125,69.0,12.7,,1,2026-01-07 20:23:09.753372,,0
27,ESP32_01,14.875,69.0,12.7,,1,2026-01-07 20:23:14.563135,,0
